userId,Profit,Bet Count
Y9tn3DDa06SByHBJrC9Puxgnjp12,514.2271355378443,2
lk1Lzcj9otXO6MgUBdNL8Ml79Ke2,510.37690136971514,91
3eiXA3X7UCeqqOqaWOb8fNX5ZS13,506.8380306136878,7
d4uxFjVsZvc39aEM2Xs0jGL3VV72,492.4601936078768,19
ZwWZbS8EtNbVW5vvcXrRFDYwRNW2,489.4207758612388,56
uqPLMTpK8vQYqKf7drN1dpwXcTt1,489.03342519955913,19
ppNPicpIkHRKxmhAj7kKNjNowhR2,486.4438362970286,278
pNZK5iZOrPWsmivFfYSMoPNCpJw2,486.046118107588,5
0OWatkZtVqOioeyrXpwRhuYQxoi1,481.6390123609201,10
bwo15BNYlQPTwE2Izdeq5tJLPyM2,475.88086758778843,1
p65TgsfvVyNVNaPcZKbC8f9XkAE3,474.90703281077754,15
BNc8OVr9A1VAcDDaPUsH7KnkBTp1,470.5998592624096,64
wcJZpTljTqZAmEOGTBpQSoqpnvi1,461.3469844639669,5
RLNHQvvAzRSX3grpFwvQcihA3bZ2,458.64287081763143,386
DF9tOOfuEYYfnIRNVsAKNp5Wyv23,457.0872662220246,10
i6B0SXR1gUd0lgWjwBFSkwV4yLl1,442.8989316277725,16
FU1kfRK8Glfk2C4XzbUkqBLOH242,442.77877052781287,18
9C45MvFUYCbZ1HS9pMhW8X3y3s62,434.5024658755219,34
bXibVutYe6bRlYr7C8tE6KNlPUw1,425.0216465472905,57
Ar4gt8fv0thFIqSd5dmbekzdDya2,424.8677510842281,2
g1vUoFu5Hnbdbb40iXy7DGLBq0q2,416.4623774817662,1
2zuiJ7RglnXhSsWBonlQDbZC9nG2,414.4947613957272,45
xKhYO40qvTOJWG7rWs0SfpZDdwM2,412.74897483618224,52
hCzDFvFF1fdUxDa7IdzxT8xx3fd2,405.3123479274709,5
tOlMJo23D6cXRh3Op8BIe0fHTGC2,400.26506891063696,9
TkUKWwDtLjacCfjzUjLdHuYSxin2,397.8949316449391,56
FGVxEBQT4ROmEp5xYQEbwMO7PJX2,397.6642686561422,137
I1VuHrIm9pbqXQq2l04A8zY1NUc2,391.60211177564975,134
OUroM4DeyPO8GGalVN4Dh2Y9nIo1,389.337931140338,38
PWZdGArdaDU3vTYIUIHhUaMuj9F3,387.4124522167473,6
TLnxmvPzKecH96deK6p7G63Vtcm1,382.9923488697739,7
MFI8eFZ3pCRL2NiFLYuCGsDPrR62,382.0993910795605,13
EZynsp6hUzTEkU1j3ymiurZY5l43,377.0129127202458,6
P9DhlWU6FXciweVHiYFcR3RNLSj2,370.37582101185035,2
FfJtW65icRf6EioSn0ZcSNqRoMI2,367.95408601328563,100
YjlPztmCXGXef7ycdwudrPorj773,362.34492475795923,3
UyLzwtC4SLRNQ03u2Olvy4FgVQ52,359.0010113679991,4
qqty83b1cyXZZmU0M8Ulk49xWfv2,356.5853066150471,39
BVkPH555GTQ4s7FIHrpoceYN2O53,356.58172631706555,1
RMBpsm4j1JP9s6CIZZCq2l27Ium2,349.6166361036953,28
pR892YaSP7agn7WsUaZsteiYlPV2,347.1040795238455,5
TgWiQFtoZ3QGJMjwY98zRGhnFwu2,346.10645526497206,18
Bre3DI5lF0NgYFOhKsq7NedIgMq1,344.9578175604256,1
zXg4QNeu9JZgTdKF80t5yNGOM9q1,342.62536600841145,17
86R4um3t9pdKPgNDxNBXOu7X2zq2,340.1089209259287,4
