amount,isCancelled,probBefore,userId,probAfter,loanAmount,shares,orderAmount,contractId,isFilled,createdTime,id_x,outcome,fees_liquidityFee,fees_creatorFee,fees_platformFee,fills_shares,fills_amount,fills_matchedBetId,fills_timestamp,isRedemption,fills_isSale,limitProb,fills,isLiquidityProvision,resolution,question,Accuracy
100.0,False,0.8363531217247975,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.7980540080825537,0.0,506.47990272761535,100.0,18JfzaH5mv6sQMPOLt3S,True,1668264231295,YYRrREwD1frEIa67KWzw,NO,0,7.945434156440537,0,506.47990272761535,100.0,,1668264231295.0,,,0.1,,,YES,Will Republicans win the House of Representatives?,WRONG
-24.292231545048935,False,0.9447742662382169,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.949575542255618,0.0,-506.47990272761535,-24.292231545048935,18JfzaH5mv6sQMPOLt3S,True,1668431510303,hkeuB0e6RAQtbcRPieq6,NO,0,2.4303255548020433,0,-506.47990272761535,-24.292231545048935,,1668431510301.0,,True,,,,YES,Will Republicans win the House of Representatives?,WRONG
1140.0,False,0.8873154703041687,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.9330838405839271,0.0,1240.9055280336142,1140.0,1Kt8elA6zGkcqrIAw8w0,True,1676578504260,1hxyzN88tVzs8buItjIO,YES,0,7.603739971808875,0,1240.9055280336142,1140.0,,1676578504260.0,,,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
250.0,False,0.6810641983261012,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.5912503624892128,0.0,648.1914890476482,250.0,1Kt8elA6zGkcqrIAw8w0,True,1674410144572,6h92Mw9XsvrjkUz44crN,NO,0,14.652460634067975,0,648.1914890476482,250.0,,1674410144572.0,,,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
-1.7083090562958506e-14,,0.8497355463014133,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.8497355463014133,0.0,-1.1368683772161603e-13,,1Kt8elA6zGkcqrIAw8w0,,1675785739324,7SfDaVloUJl2r96SGefP,NO,0,0.0,0,,,,,True,,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
-356.3467799806283,False,0.9335420737845865,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.9222759138061006,0.0,-386.9999999999991,-356.3467799806283,1Kt8elA6zGkcqrIAw8w0,True,1676124687216,9mAbxqvP3xDWR7kArKoZ,YES,0,2.82350431551461,0,-386.9999999999991,-356.3467799806283,,1676124687216.0,,True,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
209.0,False,0.641704703482169,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.570226013988539,0.0,500.759972012223,209.0,1Kt8elA6zGkcqrIAw8w0,True,1670966868474,Cu9PGdLmwQZiPo1adzWm,NO,0,11.83427991738224,0,500.759972012223,209.0,,1670966868474.0,,,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
-3201.3923944632666,False,0.9906807781218505,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.9840539302422365,0.0,-3241.79178316738,-3201.3923944632666,1Kt8elA6zGkcqrIAw8w0,True,1678402491172,DywlpFgziM5TKGez5ISG,YES,0,2.981624390196316,0,-316.03924307298985,-312.652889700148,,1678402491171.0,,True,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
-3201.3923944632666,False,0.9906807781218505,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.9840539302422365,0.0,-3241.79178316738,-3201.3923944632666,1Kt8elA6zGkcqrIAw8w0,True,1678402491172,DywlpFgziM5TKGez5ISG,YES,0,2.981624390196316,0,-1010.1010101010102,-1000.0,9d7m5DsdJ7xhdIWsHzkQ,1678402491172.0,,True,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
-3201.3923944632666,False,0.9906807781218505,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.9840539302422365,0.0,-3241.79178316738,-3201.3923944632666,1Kt8elA6zGkcqrIAw8w0,True,1678402491172,DywlpFgziM5TKGez5ISG,YES,0,2.981624390196316,0,-1915.6515299933799,-1888.7395047631185,,1678402491172.0,,True,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
-9.660374715865752e-14,,0.8497355463014133,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.8497355463014133,0.0,-1.1368683772161603e-13,,1Kt8elA6zGkcqrIAw8w0,,1675785739324,ECkVExraWd6F38bgvnrh,YES,0,0.0,0,,,,,True,,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
-1.1602423551724958e-14,,0.8979440031559703,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.8979440031559703,0.0,-1.1368683772161603e-13,,1Kt8elA6zGkcqrIAw8w0,,1675785796481,J3uBLPHXfyHebW3EgPxl,NO,0,0.0,0,,,,,True,,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
300.0,False,0.6106125398527876,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.515982160297903,0.0,652.018776028066,300.0,1Kt8elA6zGkcqrIAw8w0,True,1674487630090,KRp52rpPjZFoZ9YBQ0IY,NO,0,15.342408005027227,0,652.018776028066,300.0,,1674487630089.0,,,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
218.0,False,0.6237752248020835,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.5516274575009459,0.0,500.02830332204076,218.0,1Kt8elA6zGkcqrIAw8w0,True,1674165249146,RoNtwG16ydVwLBEW0fw8,NO,0,11.941100567990835,0,500.02830332204076,218.0,,1674165249145.0,,,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
-207.07991531501239,False,0.6169387279996799,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.7041928846132016,0.0,-650.2102650757149,-207.07991531501239,1Kt8elA6zGkcqrIAw8w0,True,1675785718933,dKURH6cYOoCndytEBAN3,NO,0,13.006592939493734,0,-650.2102650757149,-207.07991531501239,,1675785718933.0,,True,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
-1.0208441416989107e-13,,0.8979440031559703,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.8979440031559703,0.0,-1.1368683772161603e-13,,1Kt8elA6zGkcqrIAw8w0,,1675785796481,hb16IE0cl37Rg5fqFQ6i,YES,0,0.0,0,,,,,True,,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
-7.607486556488865e-15,,0.9330838405839271,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.9330838405839271,0.0,-1.1368683772161603e-13,,1Kt8elA6zGkcqrIAw8w0,,1676578504439,iVeu5cpyDFk2sdXDzWrD,NO,0,0.0,0,,,,,True,,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
770.0,False,0.8497355463014133,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.8979440031559703,0.0,870.4874900045656,770.0,1Kt8elA6zGkcqrIAw8w0,True,1675785796206,izd3qIbbkucv2EUCs3JN,YES,0,7.828698623374354,0,870.4874900045656,770.0,,1675785796206.0,,,,,,YES,Biden Cabinet Official Out by Summer?,RIGHT
-272.1421438200298,False,0.5113213273538659,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.6057235101817323,0.0,-649.9999999999993,-272.1421438200298,1Kt8elA6zGkcqrIAw8w0,True,1675374724722,nfppQAY0QlEzrLhOgKiL,NO,0,14.766693200186468,0,-649.9999999999993,-272.1421438200298,,1675374724722.0,,True,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
-357.62972685510215,False,0.5516274575009459,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.6914221311403006,0.0,-1000.7882753342636,-357.62972685510215,1Kt8elA6zGkcqrIAw8w0,True,1674337160628,uUAJLDpJ87e1Fp8U1krc,NO,0,19.61445999028657,0,-1000.7882753342636,-357.62972685510215,,1674337160628.0,,True,,,,YES,Biden Cabinet Official Out by Summer?,WRONG
